aaaammdd	v25C	v3K	3KRL 	v3KPD	v3K4	v3K4-1	v3KS24	3KSN8	vP100	vP80	vPEBD	vPPCE	vPPE	vPPH	vPPIBO	vPPR	vPVC	vPVC5C	vPVCC	vPVCR	PVCBR	vTotalTon	vTotalCCarga	vTotal3K	vTotalPressao	vTotalPVC	vTotalPP	vTotalPE
01/09/2011	360,9349936	91,909641	0	15,391424	0	4,60494	23,296572	0	654,3020119	55,782902	0,3245	269,047398	1,649412	0	10,279176	0,878368	93,329738	241,597188	0	0,29664	0	1823,624904	360,9349936	135,202577	335,223566	831,3611366	280,975986	710,4094139
01/10/2011	351,3556164	110,620081	0	14,131467	0	0,39276	28,038438	0	392,3084283	66,844278	1,54	301,410576	1,724307	0	10,770342	0,673492	71,693005	167,981538	0	7,416	0	1526,900329	351,3556164	153,182746	247,090543	751,6289054	313,905225	460,6927063
01/11/2011	308,343597	130,720335	0	16,469367	0	3,61044	27,475314	0	512,4832509	50,23334	0	270,650502	1,713105	0	19,63449	1,68622	78,185225	116,06319	0	0	0	1537,268376	308,343597	178,275456	194,248415	680,867468	291,998097	562,7165909
01/12/2011	196,779801	79,374049	0	11,911304	0	4,91421	19,226646	0	371,5206	56,418764	0,21	291,733296	0,751581	0	12,943422	0,3608	58,144655	155,072208	0	0	0	1259,361336	196,779801	115,426209	213,216863	525,422873	305,428299	428,149364
01/01/2012	347,1816738	109,352696	0	16,946472	0	8,765346	25,069878	0	310,935765	146,16637	0,099	322,198854	0,562389	0	16,060506	1,238336	87,371245	295,944156	0	0	0	1687,892687	347,1816738	160,134392	383,315401	890,6314668	338,821749	457,201135
01/02/2012	411,840881	101,704226	0	15,602853	0	16,21287	24,705414	0	274,994631	146,880128	1,5635	417,89559	0,73623	0	19,403676	3,861388	145,080932	208,766626	0	0,14832	0	1789,397265	411,840881	158,225363	353,995878	924,062122	438,035496	423,438259
01/03/2012	405,51497	119,729251	0	13,402012	0	28,992828	29,751282	0	178,3441985	147,547003	1,1165	293,833878	0,239826	0	20,1723	17,178052	114,38785	320,748282	0	6,242289	0	1697,200522	405,51497	191,875373	441,378421	1038,768764	314,246004	327,0077015
01/04/2012	253,028474	67,0057	0	11,669106	0	67,519554	26,766756	0	297,7891543	82,7666425	0,264	163,835938	1,033641	0	12,199458	2,052	103,612572	194,042856	0	0	0	1283,585852	253,028474	172,961116	297,655428	723,645018	177,069037	380,8197968
01/05/2012	292,5542569	64,620937	0	20,327387	0	21,072558	35,786358	0	256,8295108	42,417382	1,1904	184,969476	1,326036	0	10,262616	8,70194	114,818278	125,733528	0	1,854	0	1182,464664	292,5542569	141,80724	242,405806	676,7673029	196,558128	300,4372928
01/06/2012	249,025704	75,212475	0	14,546571	0	7,52298	25,636518	0	432,1247265	33,12741	0,0275	168,058518	1,331583	0	8,653704	0,073348	89,580424	151,589076	0	3,708	0	1260,218538	249,025704	122,918544	244,8775	616,821748	178,043805	465,2796365
