ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
2016-02,62208,74580,58968,28830,24000,28620,278440,118200,9744,13620,60312,36960,21924,23040,113388,53160,7800,11970,37560,11970,37560,14490,864,4350,0,0,8136,5130,0,0,2736,1500
2016-03,51696,53640,37752,30540,38856,43170,197136,135090,11544,12270,26784,31410,13968,18495,117588,67920,3792,4590,15444,4590,15444,17115,0,5670,192,240,5520,5700,0,0,2496,1800
2016-04,132648,84630,18720,30540,60624,37770,155328,128370,8352,9660,15432,29430,22704,12690,104616,66660,3528,3630,29832,3630,29832,20460,1272,1860,0,0,4824,7950,0,0,888,690
2016-05,20232,78660,24312,29070,11520,38430,72648,127350,4248,7590,15240,23610,3624,10890,41196,57090,1296,1710,7224,1710,7224,10740,504,3330,0,0,2400,2700,0,0,480,780
2016-06,32328,57120,33888,43980,21480,34440,72480,93270,8664,10800,30552,38190,28272,23370,58992,67950,6936,6990,14736,6990,14736,19650,240,2550,96,0,2256,1890,0,0,2112,2520
2016-07,41184,65310,20400,32790,33264,48840,143440,123300,10368,12540,16680,25110,10896,25170,59112,65520,4632,6990,15336,6990,15336,19410,960,5100,792,810,3312,4410,0,0,3360,3240
2016-08,55296,48300,9984,11400,30192,27510,80280,104250,9792,10440,19584,25650,13800,21180,36744,44790,5208,6600,10344,6600,10344,14670,336,3570,0,300,1416,1650,0,0,1392,810
2016-09,46968,67050,55104,50730,52872,67080,113400,118800,7872,10830,51816,35760,19584,20160,66300,66435,4392,4860,27408,4860,27408,28230,1296,4110,816,1020,5280,6810,24,30,1464,1710
2016-10,60360,72960,65520,50040,52056,60420,293928,165000,16584,13560,57264,26790,23088,25710,122076,80130,13936,7830,55312,7830,55312,26250,1872,12330,1728,660,13656,4140,48,60,5640,3120
2016-11,66576,80070,90993,53371,36192,43020,737840,215910,11304,13890,52056,54270,20592,22830,71916,94740,6120,13260,28224,13260,28224,37380,1104,5820,192,240,1488,2190,0,0,192,240
2016-12,34248,46860,50736,35280,29400,30690,367008,246960,3840,6600,86952,38490,40536,23820,102624,72030,7512,6060,51960,6060,51960,19080,1584,6240,624,780,5808,5070,0,0,1392,1320
2017-01,112032,94110,85776,83700,71184,68280,291048,321630,16248,15450,71160,44100,42048,38340,258096,106500,8352,7680,35736,7680,35736,34920,912,10650,0,0,13936,15960,48,60,4272,2610
2017-02,19800,55680,58440,60210,39864,36090,186264,224190,9288,7770,71208,47910,18696,26880,117312,83685,7872,8190,46572,8190,46572,26130,1416,6840,192,240,9680,5160,600,750,8040,1860
2017-03,75096,63030,88008,62190,32160,51570,589536,319290,13512,17010,108168,67440,34512,38640,133836,76485,9168,8070,87384,8070,87384,28425,2088,11640,336,420,12024,12360,0,0,2664,1110
2017-04,110672,44280,49304,31350,86472,48030,210552,149280,18936,10080,23592,36330,32256,19815,80916,97230,4368,8640,10896,8640,10896,21930,528,9780,192,0,1560,7410,0,0,1440,2130
2017-05,64200,130440,97656,91470,56400,85680,773472,250890,15792,10110,102088,49890,17976,20250,268276,100920,9360,5100,119064,5100,119064,41220,1032,11940,0,0,20088,9150,0,0,4536,1740
2017-06,100560,94320,33576,50850,34080,0,272960,283740,6864,8880,86808,44280,13248,22350,63264,69030,4248,4320,35616,4320,35616,43230,672,6630,216,0,5112,3180,0,0,1272,2490
2017-07,58248,69720,47208,59640,13728,64920,275880,227520,9336,15600,47208,54990,20400,13890,68328,76560,4944,7110,31572,7110,31572,29010,48,12060,0,0,1152,1380,0,0,816,1770
2017-08,44112,68340,23448,33660,15648,2880,80832,95490,3864,3240,27624,38130,3024,19830,46272,58500,3264,2490,12648,2490,12648,15210,240,3990,0,0,3528,5100,0,0,432,2040
2017-09,63120,82920,363224,66990,40896,48330,1965752,259290,13344,15630,72768,67650,15000,15690,70440,100950,6168,8460,28488,8460,28488,36930,144,5550,0,0,6960,3990,0,0,4312,900
2017-10,81120,99030,106896,98550,37440,37350,1220066,264572,6480,10470,254928,61140,8352,17340,64920,77040,5784,8760,29328,8760,29328,31440,0,11010,0,0,4440,6630,0,0,2520,3330
2017-11,58008,73860,56704,82620,9000,6900,321880,287760,7152,9540,40464,60930,3792,5700,79748,88815,4008,3510,44136,3510,44136,30900,0,8340,0,0,3624,3450,0,0,2856,2790
2017-12,31860,35760,114792,45120,2880,0,3291888,295710,1728,2160,68832,29610,3120,4680,183948,64770,2040,4050,64656,4050,64656,20130,0,3780,192,0,7560,1890,0,0,2256,1500
2018-01,98856,91860,131160,80580,108072,35700,502632,359310,37104,9210,984096,116400,24912,15300,278236,92520,3912,3990,120528,3990,120528,29850,48,6720,0,0,5712,3060,0,0,6408,1290
2018-02,43632,87120,49056,58050,1680,3330,171984,301350,1728,13230,33696,52620,6648,16200,56760,77670,2640,2190,17568,2190,17568,24330,0,10740,408,0,3504,5910,0,0,1752,2220
2018-03,50760,61680,35928,58080,3624,30810,165736,258660,5928,6600,31104,60510,6816,10560,28632,50640,4320,4860,16464,4860,16464,10050,192,6150,0,0,3720,4680,0,0,600,1350
2018-04,65232,79890,98088,61800,7224,27540,790536,158730,3168,8430,44448,48810,9084,14835,55728,60690,2736,4980,53688,4980,53688,25200,0,11580,0,0,4200,6420,0,0,984,990
2018-05,131928,74820,74544,68040,165984,40110,221640,339030,9672,4170,99720,63270,17088,6750,333036,108435,2976,4080,178416,4080,178416,27390,336,9150,0,0,9384,3390,0,0,4992,1740
2018-06,91488,121590,106416,117180,60048,21090,248488,336330,15720,7440,90792,63600,9900,6960,217416,113520,5640,450,48840,450,48840,22050,1128,3600,0,0,5016,3630,0,0,984,690
2018-07,68484,82110,48864,84180,13200,46050,157296,279090,2472,7170,50784,64980,3168,12810,62904,93390,3528,6960,20664,6960,20664,36090,0,12420,96,0,11040,6240,0,0,2112,3570
2018-08,37152,45480,31536,50280,9600,18210,81480,216090,4032,2580,22320,46920,2376,1890,34992,60690,1872,1170,11844,1170,11844,25275,0,11430,0,0,4392,9210,0,0,168,1680
2018-09,134136,54450,225408,71250,20640,0,463548,282690,13296,8280,61800,49500,12408,5055,131976,89760,3840,4890,65604,4890,65604,33705,720,15000,0,0,8616,7230,0,0,3000,1830
2018-10,16536,64140,38400,110130,31920,57840,129912,356760,5160,2220,60312,88560,6144,8520,98192,64785,3744,4590,51528,4590,51528,33600,0,15540,0,0,3576,5040,0,0,2304,2310
2018-11,22992,69510,42192,78450,20760,21420,96048,342840,1632,7440,35904,104430,4656,11850,51288,97485,2592,3900,15756,3900,15756,28845,96,4680,192,0,3912,3600,0,0,0,1380
2018-12,175008,34230,65496,72630,77352,5670,132424,204770,16320,2520,18624,15570,14424,4890,122676,46080,1416,270,18432,270,18432,20940,480,6390,0,0,8856,2880,0,0,456,270
2019-01,15240,68130,50160,114870,8544,25860,178896,253410,5424,6780,34608,65970,9288,13500,104888,92970,4104,3780,23328,3780,23328,30480,0,10050,0,0,2760,7200,0,0,3432,3270
2019-02,33840,71460,70128,72390,5568,36930,123192,181530,2520,3540,44512,51450,3456,15630,75240,93810,3624,4410,40968,4410,40968,48120,0,6210,0,0,6720,7860,0,0,120,630
2019-03,346056,73920,156276,101670,110976,38340,486324,231600,11520,8790,48936,47370,50112,10620,133842,71160,3792,3600,53784,3600,53784,29670,1188,13980,0,0,9504,8400,0,0,1824,1110
2019-04,14892,53010,42096,61860,12600,8160,133288,228210,1752,6840,43848,49410,2376,4920,47976,61980,4476,3210,17304,3210,17304,23190,0,9060,0,0,4488,6690,0,0,96,-90
2019-05,39816,90450,83928,111060,21720,43800,304304,248820,11136,12720,62472,44220,4776,6030,140824,89550,3384,3720,39990,3720,39990,23310,48,13620,0,0,6424,4500,0,0,5160,1860
2019-06,22848,64800,53784,84720,10560,27270,285096,128430,4320,8400,53776,45600,5376,11040,50848,70440,4752,3150,34824,3150,34824,32160,0,6630,0,0,5736,2520,0,0,1200,840
2019-07,27648,65010,69456,74460,11328,29790,99024,177450,4656,8880,41376,55980,8568,7380,70416,64170,7536,6810,23136,6810,23136,20400,0,7620,216,0,1824,2760,0,0,960,1110
2019-08,16200,39600,24960,44850,3360,12960,55752,83130,648,3450,16176,33000,3552,6450,26088,45300,2592,3210,14712,3210,14712,20400,672,8250,0,0,3936,5250,0,0,0,600
2019-09,68436,75240,36360,85890,24624,30450,113088,188580,2184,2970,25488,39330,1152,9750,40728,53820,4896,9840,9384,9840,9384,16470,0,4530,0,0,4104,4230,0,0,576,660
2019-10,45984,69150,52080,91350,30960,30480,93720,189510,6288,5940,59904,39630,10992,14100,54864,58500,6960,4230,19026,4230,19026,21780,144,7890,0,0,6408,5040,0,0,624,660
2019-11,45900,27096,24822,42576,12240,10752,105522,91200,1152,2736,18018,32088,5148,5064,26136,41640,918,2280,8010,2280,8010,14280,0,6792,0,0,3978,7248,0,0,1656,912
2019-12,41388,23382,25584,22518,21372,13860,35064,70074,4032,882,13476,21312,7464,5076,29748,21654,1224,756,7356,756,7356,4032,0,4680,0,0,1716,2124,48,0,2220,1980
2020-01,14280,35064,105768,36276,4560,7680,413604,62472,1812,2604,52800,14052,1440,2520,91956,25920,936,1164,44232,1164,44232,9660,0,5400,0,0,8052,1512,0,0,1572,1356
2020-02,6474,5298,15012,7800,2136,8046,123108,37224,1092,1572,11832,9192,1212,1782,16902,12276,378,0,14436,0,14436,7464,0,2910,0,0,3966,702,0,0,1002,96
