ANOMES,E125SN4,V125SN4,E125SN8,V125SN8,E200SN4,V200SN4,E200SN8,V200SN8,E250SN4,V250SN4,E250SN8,V250SN8,E315SN4,V315SN4,E315SN8,V315SN8,E400SN4,V400SN4,E400SN8,V400SN4,E400SN8,V400SN8,E500SN4,V500SN8,E630SN4,V630SN4,E630SN8,V630SN8,E800SN4,V800SN4,E800SN8,V800SN8
2007-07,7680,5430,32736,44250,105048,98580,223608,305910,24504,24540,92784,68370,79824,93810,149520,165180,41136,23580,80040,23580,80040,69540,9816,36060,5760,2550,15888,25380,5304,3600,8784,11520
2007-08,10128,19260,39280,51480,102984,79260,163400,219930,25416,32760,30528,50010,73056,68940,79104,119790,12072,17370,15816,17370,15816,44820,3984,17550,1608,1620,4104,10590,192,240,3000,4620
2007-09,10680,9510,21024,31920,66552,82410,221928,248970,27216,12330,81688,95460,93185,105180,142528,170910,17448,17460,137384,17460,137384,125340,7176,21510,6480,7680,7342,14100,648,540,2352,5070
2007-10,22032,15000,48720,54450,105240,132810,406488,429720,27288,46650,111792,100230,102880,98670,243384,240690,24048,26670,108984,26670,108984,84540,10848,21900,5688,4980,46248,20790,4056,2970,29064,10020
2007-11,16200,25710,50664,39990,37824,76440,328848,354690,35256,33390,62760,88890,56784,106680,265264,225390,31944,36990,112104,36990,112104,94110,6696,40170,6624,5160,14976,25080,48,60,5568,8040
2007-12,6072,9690,22344,27480,103704,44760,84240,308580,19296,12240,59688,30990,32184,40140,82296,121950,22968,17130,59592,17130,59592,63120,4968,11940,4680,2790,8832,11040,1776,150,4488,3660
2008-01,17160,18870,42408,52860,71232,112260,228352,233970,24144,32340,66000,84510,41856,54720,149544,151200,18816,23850,113712,23850,113712,79140,1752,21780,2760,6870,35040,18090,1104,1830,6720,2970
2008-02,70920,48300,104112,53730,139320,134790,696400,222300,36384,29460,240696,43110,39960,51570,168816,128280,24936,15210,74688,15210,74688,63210,3720,20460,3504,3810,17640,16560,552,1110,2688,1830
2008-03,10872,39120,55488,47370,93864,98820,391728,242370,34800,39750,86520,51240,52704,58320,134352,122640,33840,24510,44328,24510,44328,61890,2928,22380,9528,3900,14832,17490,1248,1560,3312,4140
2008-04,22104,35490,27840,34920,121392,143280,330964,264630,103872,37050,71460,99630,78960,62940,170769,167460,22920,36870,59992,36870,59992,77130,6696,21360,6240,11640,16224,14490,216,390,9464,8820
2008-05,15720,10200,19488,25050,53088,47490,358944,276240,71544,68850,48576,67170,62376,72600,63288,94020,24216,21900,42528,21900,42528,57480,4368,17070,7176,5940,3024,7500,408,390,2208,3330
2008-06,35472,16260,34800,30180,106488,73200,195312,218730,36672,24780,50112,51090,83016,66810,229200,129420,28560,21600,104944,21600,104944,60840,13632,21720,9120,4080,22152,8520,3072,360,25680,5370
2008-07,41952,56580,127520,42750,106056,111840,469512,333270,56832,61770,243240,113940,46128,70560,256968,186570,19560,28050,212280,28050,212280,102360,2760,34380,1632,3000,107328,41610,696,3420,65448,19560
